Source,Target,Type,Id,Label,timeset,Weight
828254,8444486,Undirected,283,,,2
828254,8558807,Undirected,284,,,2
828254,8734581,Undirected,285,,,2
828254,9472148,Undirected,287,,,2
828254,10662748,Undirected,288,,,1
828254,10691905,Undirected,289,,,2
828254,11027885,Undirected,290,,,2
828254,11337133,Undirected,291,,,2
828254,11338980,Undirected,292,,,2
828254,12014421,Undirected,293,,,2
828254,12245321,Undirected,294,,,2
828254,13163358,Undirected,295,,,2
828254,13329095,Undirected,296,,,2
828254,13628232,Undirected,297,,,2
828254,15429661,Undirected,298,,,2
828254,16644079,Undirected,299,,,2
828254,16807958,Undirected,300,,,2
828254,17890829,Undirected,301,,,2
828254,18120363,Undirected,302,,,2
828254,19099170,Undirected,303,,,2
828254,19136808,Undirected,304,,,2
828254,19317051,Undirected,305,,,2
828254,19466859,Undirected,306,,,2
828254,19721011,Undirected,307,,,2
828254,20323165,Undirected,308,,,2
828254,20765849,Undirected,309,,,2
828254,20811923,Undirected,310,,,2
828254,22789877,Undirected,311,,,2
828254,23287031,Undirected,312,,,2
828254,23309704,Undirected,313,,,2
828254,25706119,Undirected,314,,,2
828254,25709242,Undirected,315,,,2
828254,25811158,Undirected,316,,,2
828254,26505578,Undirected,317,,,2
828254,28383952,Undirected,318,,,2
828254,30651178,Undirected,319,,,2
828254,31239705,Undirected,320,,,2
828254,31815831,Undirected,321,,,2
828254,32796487,Undirected,322,,,2
828254,32899114,Undirected,323,,,2
828254,33394936,Undirected,324,,,2
828254,34189253,Undirected,325,,,2
828254,36281158,Undirected,326,,,2
828254,36308001,Undirected,327,,,2
828254,36457475,Undirected,328,,,2
828254,38568712,Undirected,329,,,2
828254,39513774,Undirected,330,,,2
828254,42210012,Undirected,331,,,2
828254,48038134,Undirected,332,,,2
828254,48850658,Undirected,333,,,2
828254,49032796,Undirected,334,,,2
828254,49793485,Undirected,335,,,2
828254,52148726,Undirected,336,,,2
828254,53852245,Undirected,337,,,2
828254,54705155,Undirected,338,,,2
828254,57604828,Undirected,339,,,2
828254,59451577,Undirected,340,,,2
828254,66787718,Undirected,341,,,2
828254,69511861,Undirected,342,,,2
828254,71817864,Undirected,343,,,2
828254,75322706,Undirected,344,,,2
828254,88772382,Undirected,345,,,2
828254,95641282,Undirected,346,,,2
828254,101346468,Undirected,347,,,2
828254,103619201,Undirected,348,,,2
